"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.29366028626919e-18,1.89800895965183,0.136,0.044,3.62199006949649e-14,"6","Cacnb2"
1.97672519081685e-18,1.02960014731674,0.425,0.241,5.53443518924901e-14,"6","Cmtm3"
2.04786853910693e-18,1.61523173550864,0.136,0.043,5.73362233579158e-14,"6","Kazald1"
2.19993575887289e-18,1.33872511859092,0.228,0.097,6.15938013769231e-14,"6","Nos1ap"
3.08704479500775e-18,0.721281608558076,0.692,0.515,8.64310801706269e-14,"6","Mprip"
3.9522888758928e-18,1.80847811981744,0.12,0.036,1.10656183947247e-13,"6","Pcp4l1"
4.22353992171933e-18,1.25438259384561,0.312,0.158,1.18250670728298e-13,"6","Dbp"
4.52808529420653e-18,2.11797666480465,0.2,0.084,1.26777332067194e-13,"6","Metrnl"
4.70536301445459e-18,1.79897477244903,0.155,0.055,1.317407536787e-13,"6","Slc25a23"
6.56033688081539e-18,0.8945860504079,0.505,0.307,1.83676311989069e-13,"6","Dtx3"
6.77175443978377e-18,0.704132537451703,0.751,0.581,1.89595580805066e-13,"6","Sh3bgrl"
6.82603307537775e-18,1.94012721928536,0.122,0.037,1.91115274044426e-13,"6","Sept4"
7.13135238751733e-18,2.09358032936315,0.124,0.039,1.9966360414571e-13,"6","Hoxa13"
7.4121628489884e-18,1.69822538592095,0.146,0.05,2.07525735445977e-13,"6","Ptger3"
7.42701408383619e-18,1.00441723229397,0.394,0.216,2.07941540319246e-13,"6","Asap1"
7.55194827691749e-18,1.09652560714605,0.552,0.386,2.11439447857136e-13,"6","Txndc5"
8.26766102124893e-18,2.10248491147948,0.124,0.039,2.31477973272928e-13,"6","Slc43a3"
8.28286733543241e-18,0.467312198647742,0.953,0.872,2.31903719657437e-13,"6","Gabarap"
9.17834532641323e-18,0.572889213649531,0.446,0.259,2.56975312448918e-13,"6","Irf1"
9.51706597480979e-18,1.07596878509646,0.458,0.276,2.66458813162725e-13,"6","Ramp1"
9.91056324922638e-18,1.1773380779455,0.343,0.183,2.7747594985184e-13,"6","Hspa2"
1.19248211936818e-17,1.0605768625373,0.737,0.593,3.33871143780704e-13,"6","Ppp1r12a"
1.33893015240563e-17,1.64352182283307,0.188,0.076,3.74873664070528e-13,"6","Mxra7"
1.36946149741367e-17,1.86660300042219,0.101,0.028,3.8342183004588e-13,"6","Gpsm3"
1.40221754983041e-17,1.14850390657566,0.364,0.199,3.92592869601518e-13,"6","Ap3s1"
1.86141780071112e-17,1.67610938411352,0.148,0.052,5.211597558431e-13,"6","Stard13"
2.13753693532004e-17,1.25401335662259,0.352,0.192,5.98467591150904e-13,"6","Hoxa10"
2.38957467272518e-17,0.784732420291823,0.714,0.515,6.69033116869596e-13,"6","Prdx4"
2.88361904796844e-17,0.829282555247643,0.65,0.472,8.07355661050204e-13,"6","Gem"
2.90736688548067e-17,1.43725557174194,0.268,0.129,8.14004580596878e-13,"6","Lysmd2"
3.02995147250653e-17,2.05934656765342,0.11,0.033,8.48325813272379e-13,"6","Kcnip3"
3.06244412262423e-17,0.725463292316599,0.704,0.52,8.57423105452333e-13,"6","Emc10"
3.17267800199004e-17,1.68309006409617,0.195,0.08,8.88286386997172e-13,"6","Sphk1"
4.63476402663781e-17,0.79059288514118,0.615,0.44,1.29764123217805e-12,"6","Ccnd3"
4.87567457798104e-17,1.02245198136808,0.331,0.175,1.36509136834313e-12,"6","Pea15a"
5.14345516492777e-17,0.694764209157289,0.66,0.479,1.44006457707648e-12,"6","Rsu1"
5.28106185819144e-17,0.764112239683116,0.678,0.521,1.47859169905644e-12,"6","Actn1"
7.39619396843548e-17,0.624752935903063,1,0.978,2.07078638728257e-12,"6","Hspa1a"
7.55852155191676e-17,0.470861289764041,0.955,0.91,2.11623486410565e-12,"6","Ppib"
8.32351509533265e-17,1.44591365960794,0.188,0.076,2.33041775639123e-12,"6","Lbh"
9.68598247826693e-17,1.41620498390081,0.214,0.092,2.71188137426518e-12,"6","Tceal1"
1.12798335243121e-16,1.27653492854644,0.237,0.108,3.1581277901369e-12,"6","Pkd2"
1.1573420514588e-16,1.85930423364322,0.143,0.051,3.24032627567435e-12,"6","Fam69a"
1.38410376641743e-16,0.490837058646152,1,0.997,3.87521372521553e-12,"6","Junb"
1.63881815790846e-16,1.26392263680219,0.279,0.139,4.58836307851211e-12,"6","Scpep1"
1.70646729505362e-16,0.821033699922616,0.542,0.349,4.77776713269113e-12,"6","Rexo2"
1.74820022948712e-16,1.47925728645587,0.197,0.083,4.89461100251803e-12,"6","B4gat1"
1.98837196020725e-16,0.526113410047631,0.845,0.719,5.56704381418827e-12,"6","Ptov1"
2.19002967637617e-16,0.4403067621178,0.92,0.847,6.13164508791799e-12,"6","Itgb1"
2.56296830425864e-16,2.77458857629538,0.176,0.073,7.17579865826333e-12,"6","Lpl"
2.59785375800788e-16,0.939952520986026,0.531,0.359,7.27347095167047e-12,"6","Psip1"
2.64036093996283e-16,1.58333749077965,0.183,0.075,7.39248255970792e-12,"6","Abhd8"
2.77528133713545e-16,1.99157236944421,0.134,0.046,7.77023268771182e-12,"6","Cfh"
2.8659137204954e-16,1.4674294757984,0.167,0.064,8.02398523464303e-12,"6","Sspn"
2.96719243186598e-16,1.27704848455291,0.211,0.091,8.30754537073838e-12,"6","Prkce"
2.995840924941e-16,1.9532530633579,0.157,0.06,8.38775542164983e-12,"6","Hspb6"
3.00881328533398e-16,0.674540137444446,0.707,0.529,8.42407543627807e-12,"6","9530068E07Rik"
3.05308594434248e-16,1.38032106963176,0.115,0.036,8.54803002697006e-12,"6","Sult1a1"
4.19250133102828e-16,0.665798895551773,0.61,0.425,1.1738165226613e-11,"6","Ctsz"
4.34530357679695e-16,0.359075503199681,0.979,0.951,1.21659809543161e-11,"6","Calm2"
4.46889404139627e-16,0.593083979530865,0.615,0.41,1.25120095371013e-11,"6","Wwtr1"
4.81899137196457e-16,1.03163449660912,0.343,0.185,1.34922120432264e-11,"6","March2"
5.58630400646531e-16,1.531583932388,0.185,0.077,1.56405339573016e-11,"6","Tenm2"
5.98830871490167e-16,0.832693137291067,0.42,0.249,1.67660667399817e-11,"6","Pink1"
6.25894280775432e-16,1.18022585795518,0.333,0.181,1.75237880731505e-11,"6","Gnai1"
6.4914207843369e-16,1.8166531194203,0.136,0.048,1.81746799119865e-11,"6","Itga8"
6.6778968448257e-16,1.59618773782394,0.124,0.041,1.8696775586143e-11,"6","Antxr2"
6.7102651959603e-16,0.762522068728585,0.556,0.367,1.87874004956496e-11,"6","Blvrb"
6.83573914565027e-16,1.97129897238281,0.115,0.037,1.91387024599916e-11,"6","Cacna1d"
9.30723907918757e-16,1.74947506525572,0.115,0.037,2.60584079739094e-11,"6","Itga1"
9.92505333075139e-16,1.51376946198861,0.23,0.107,2.77881643154378e-11,"6","Tcea3"
1.02098928064293e-15,0.885452879510249,0.477,0.302,2.85856578794408e-11,"6","Fzd1"
1.06893652260229e-15,1.1746258077944,0.239,0.113,2.99280847598189e-11,"6","Bace1"
1.08040941034077e-15,0.29058444430395,0.221,0.096,3.02493026707209e-11,"6","Ramp2"
1.54982780231456e-15,1.80962540478012,0.157,0.061,4.33920788092031e-11,"6","Timp1"
1.98527959163689e-15,1.63952646798795,0.178,0.075,5.55838580066497e-11,"6","Pde5a"
2.06841778338529e-15,0.906354657523625,0.437,0.268,5.79115610992213e-11,"6","Gkap1"
2.18306809491033e-15,1.10870934767143,0.331,0.18,6.11215405212995e-11,"6","Pgm5"
2.35720103916469e-15,1.04997678267658,0.383,0.223,6.5996914694533e-11,"6","Fjx1"
2.64962399907272e-15,1.17556590493377,0.197,0.085,7.41841727260381e-11,"6","Dpysl2"
2.78286157793411e-15,0.765553549183911,0.601,0.41,7.79145584589993e-11,"6","Anapc11"
2.79517029773916e-15,0.530634591106502,0.824,0.713,7.82591779961011e-11,"6","Lmo4"
3.11402514731655e-15,0.682953183796792,0.587,0.4,8.71864760745688e-11,"6","Ski"
3.15651482566057e-15,1.09331421743207,0.286,0.147,8.83761020888447e-11,"6","Cxxc5"
3.33622670809239e-15,0.554822282646698,0.737,0.577,9.34076753731709e-11,"6","Auts2"
3.48194112530763e-15,1.76743375610869,0.106,0.033,9.74873876263631e-11,"6","Slc7a8"
3.64951996332555e-15,0.279099854649961,0.446,0.257,1.02179259933189e-10,"6","Msn"
3.78574719725799e-15,1.89914724898407,0.11,0.036,1.05993350028829e-10,"6","Gm10371"
4.16700484815378e-15,1.33506894988798,0.235,0.112,1.1666780173861e-10,"6","Gpc1"
5.81227137385685e-15,1.38105841676113,0.174,0.071,1.62731973925244e-10,"6","Kifc3"
5.85942021931993e-15,1.23311280892048,0.244,0.12,1.64052047300519e-10,"6","Tmem263"
6.02328001723332e-15,1.16416481795611,0.242,0.117,1.68639793922499e-10,"6","Plpp1"
